Noise;Lighting;HasEquipment;Communication;AirConditioning;Temparature;Hygiene;Stress;BreakSatisfactoriness;WorkPlace;Efficiency
Low;Moderate;No;Weak;Moderate;Moderate;High;Low;Sufficient;Remote;Moderate
Low;Moderate;Yes;Weak;Low;Moderate;Moderate;Low;Sufficient;Hybrid;High
High;High;No;Strong;Moderate;Moderate;Moderate;High;Insufficient;OnSite;Moderate
Moderate;Moderate;No;Strong;Moderate;Low;Moderate;Moderate;Sufficient;Remote;Low
Moderate;Moderate;No;Strong;Moderate;Moderate;High;High;Sufficient;Remote;High
Low;Moderate;No;Strong;Moderate;Moderate;Moderate;Moderate;Sufficient;Remote;Moderate
High;Moderate;No;Weak;Moderate;Moderate;Moderate;High;Sufficient;Remote;Moderate
Moderate;Moderate;No;Weak;Moderate;Moderate;Moderate;Moderate;Sufficient;OnSite;Moderate
High;Moderate;No;Weak;Moderate;Moderate;Low;Moderate;Insufficient;OnSite;Low
Moderate;Moderate;Yes;Strong;High;Low;High;Low;Sufficient;Hybrid;High
Low;Moderate;No;Strong;Low;High;Moderate;Moderate;Sufficient;OnSite;Moderate
High;High;No;Strong;Low;High;Moderate;Moderate;Insufficient;OnSite;High
Low;Moderate;Yes;Weak;Moderate;Moderate;Moderate;Moderate;Sufficient;Remote;Low
Moderate;Moderate;No;Strong;Moderate;Moderate;Low;High;Insufficient;Hybrid;Moderate
Moderate;High;No;Strong;Moderate;Moderate;Moderate;Moderate;Sufficient;Hybrid;Moderate
Low;Low;Yes;Strong;Moderate;Moderate;Moderate;Moderate;Sufficient;Remote;Moderate
Moderate;Moderate;Yes;Strong;Moderate;Moderate;Moderate;High;Insufficient;OnSite;Moderate
Low;Moderate;No;Strong;Moderate;Moderate;Moderate;Moderate;Sufficient;Remote;Moderate
Moderate;Low;Yes;Weak;High;Moderate;High;Low;Sufficient;Hybrid;High
Moderate;High;Yes;Weak;Moderate;Low;High;Moderate;Sufficient;Hybrid;Moderate
Moderate;High;No;Strong;Moderate;Moderate;High;High;Insufficient;OnSite;Moderate
High;Moderate;No;Strong;High;Moderate;Moderate;High;Insufficient;OnSite;Moderate
Moderate;Moderate;Yes;Strong;Moderate;Moderate;High;High;Insufficient;OnSite;Moderate
Moderate;Moderate;No;Weak;Moderate;Moderate;Low;Moderate;Sufficient;Remote;Moderate
High;Moderate;No;Weak;Moderate;Moderate;Low;High;Insufficient;OnSite;Moderate
High;High;Yes;Weak;Low;Moderate;Moderate;Moderate;Insufficient;OnSite;Moderate
Moderate;High;Yes;Strong;Moderate;Moderate;High;Moderate;Insufficient;OnSite;Moderate
High;Moderate;Yes;Strong;Moderate;Moderate;Moderate;Low;Insufficient;OnSite;Moderate
Moderate;Moderate;Yes;Strong;Low;Moderate;Moderate;Moderate;Sufficient;OnSite;Moderate
Low;Moderate;No;Strong;Moderate;Moderate;Low;Low;Insufficient;Hybrid;Moderate
Low;Moderate;Yes;Strong;Moderate;Moderate;High;Low;Sufficient;Remote;High
Moderate;Moderate;No;Strong;Moderate;Moderate;Moderate;Moderate;Sufficient;Remote;High
Moderate;High;Yes;Strong;High;Moderate;Low;High;Sufficient;Hybrid;Moderate
Moderate;Low;No;Strong;Moderate;Moderate;Moderate;Moderate;Sufficient;OnSite;Moderate
Moderate;Moderate;No;Strong;Moderate;Low;Moderate;Moderate;Sufficient;Remote;Moderate
Low;Moderate;Yes;Strong;Moderate;Moderate;Moderate;Low;Sufficient;OnSite;High
Low;High;Yes;Strong;High;Moderate;Moderate;High;Sufficient;OnSite;Moderate
High;Moderate;No;Strong;Low;Moderate;Low;High;Insufficient;OnSite;High
Moderate;Moderate;Yes;Strong;Moderate;Moderate;High;Low;Sufficient;OnSite;High
Low;High;No;Strong;High;Moderate;High;Moderate;Sufficient;OnSite;High
Moderate;Low;No;Strong;Moderate;Low;Moderate;High;Sufficient;OnSite;High
Low;Moderate;Yes;Strong;High;Moderate;High;Moderate;Sufficient;Hybrid;Low
High;Moderate;Yes;Strong;High;Moderate;Moderate;High;Insufficient;OnSite;Moderate
Moderate;Low;No;Strong;Low;High;Low;Moderate;Insufficient;OnSite;High
Moderate;High;Yes;Strong;Moderate;High;Moderate;High;Sufficient;OnSite;Moderate
Moderate;Moderate;Yes;Strong;Moderate;Low;Moderate;Moderate;Sufficient;OnSite;Moderate
Moderate;Low;Yes;Strong;Moderate;Moderate;High;High;Sufficient;Hybrid;High
Moderate;Moderate;Yes;Weak;Moderate;Moderate;High;Moderate;Sufficient;OnSite;Moderate
Moderate;Moderate;No;Strong;High;Moderate;Low;Low;Insufficient;Hybrid;Moderate
Low;High;No;Strong;High;Moderate;Moderate;High;Sufficient;Hybrid;Moderate
Low;High;No;Strong;High;Moderate;Moderate;Low;Sufficient;Remote;High
Low;Moderate;No;Weak;High;Low;Moderate;Low;Sufficient;Hybrid;High
Low;High;Yes;Strong;Moderate;Moderate;High;Low;Sufficient;OnSite;Moderate
Low;Moderate;No;Strong;High;Moderate;Moderate;Moderate;Sufficient;OnSite;Moderate
Low;Moderate;No;Strong;Moderate;Moderate;Moderate;High;Sufficient;Hybrid;High
Low;Moderate;Yes;Strong;High;Moderate;Moderate;Low;Sufficient;OnSite;Moderate
Moderate;High;No;Strong;Low;High;Low;High;Sufficient;OnSite;High
Low;Moderate;No;Strong;High;Moderate;Moderate;Moderate;Sufficient;OnSite;High
Low;Moderate;No;Strong;Moderate;Moderate;Low;High;Insufficient;OnSite;Moderate
High;High;Yes;Strong;Moderate;Moderate;High;Moderate;Insufficient;OnSite;High
Low;High;Yes;Strong;Moderate;Moderate;High;Low;Sufficient;Hybrid;High
Moderate;Moderate;No;Strong;Low;High;Low;Moderate;Sufficient;Hybrid;Low
Moderate;High;No;Strong;Moderate;Moderate;Moderate;High;Sufficient;Remote;Moderate
Low;Moderate;No;Strong;Moderate;Moderate;Moderate;Low;Sufficient;Remote;Moderate
Low;High;Yes;Strong;Moderate;Moderate;Moderate;Low;Sufficient;Remote;Moderate
High;High;Yes;Strong;Moderate;High;Moderate;High;Sufficient;OnSite;Moderate
Moderate;High;Yes;Strong;High;Moderate;High;Moderate;Sufficient;OnSite;Moderate
Moderate;Moderate;Yes;Strong;High;Low;High;High;Sufficient;OnSite;High
Moderate;High;No;Weak;Moderate;Moderate;Moderate;Moderate;Insufficient;OnSite;Moderate
Moderate;Moderate;No;Strong;Low;Low;Moderate;High;Sufficient;OnSite;High
Moderate;Moderate;No;Strong;Moderate;Moderate;Moderate;Moderate;Insufficient;OnSite;Moderate
Moderate;Moderate;No;Strong;Moderate;Moderate;Moderate;High;Insufficient;Hybrid;Moderate
Low;Moderate;Yes;Weak;Moderate;Moderate;High;Low;Insufficient;Remote;Moderate
Moderate;High;Yes;Strong;Moderate;Moderate;Low;High;Sufficient;Hybrid;Moderate
Moderate;Moderate;Yes;Strong;High;Moderate;High;High;Sufficient;OnSite;High
Low;Moderate;Yes;Strong;Moderate;Moderate;High;Low;Insufficient;Remote;High
Low;Moderate;No;Strong;Moderate;Moderate;Moderate;High;Sufficient;Hybrid;Moderate
Low;High;No;Strong;High;Low;Low;Low;Sufficient;OnSite;High
Low;Moderate;No;Strong;Moderate;Moderate;Moderate;High;Insufficient;Hybrid;High
Moderate;Moderate;No;Weak;Moderate;Moderate;Low;High;Insufficient;Hybrid;Low
Moderate;Moderate;Yes;Strong;High;Moderate;High;Moderate;Sufficient;Hybrid;Moderate
Moderate;Moderate;Yes;Strong;Moderate;Low;Moderate;High;Insufficient;OnSite;Moderate
Low;Moderate;No;Strong;Moderate;Moderate;High;High;Insufficient;Hybrid;Moderate
Low;Moderate;No;Strong;High;Moderate;High;High;Insufficient;OnSite;Low
Low;Moderate;Yes;Weak;Moderate;Low;High;Moderate;Sufficient;Remote;Moderate
Moderate;Low;Yes;Strong;Moderate;Moderate;Moderate;High;Insufficient;Remote;Moderate
Moderate;Moderate;Yes;Strong;Low;Moderate;Moderate;High;Insufficient;OnSite;Moderate
Low;Moderate;No;Weak;Moderate;Moderate;Moderate;Low;Sufficient;OnSite;Low
Low;Moderate;Yes;Strong;Moderate;Moderate;Moderate;Low;Sufficient;OnSite;Moderate
Moderate;Moderate;Yes;Strong;Moderate;Moderate;Moderate;High;Sufficient;Remote;High
Moderate;High;Yes;Strong;Moderate;Low;High;Moderate;Sufficient;Hybrid;Moderate
Low;Moderate;Yes;Strong;Moderate;Moderate;Moderate;Moderate;Sufficient;OnSite;High
Low;Moderate;Yes;Strong;High;Moderate;High;Moderate;Sufficient;OnSite;High
Low;Moderate;Yes;Strong;Moderate;Moderate;High;High;Sufficient;Hybrid;High
Moderate;Moderate;No;Strong;Moderate;Moderate;High;Moderate;Insufficient;Hybrid;Moderate
Moderate;Moderate;No;Strong;Low;Moderate;Low;Moderate;Sufficient;Remote;Moderate
Low;Moderate;No;Weak;Moderate;Moderate;Low;High;Sufficient;Hybrid;Low
Moderate;Moderate;No;Strong;Moderate;Low;High;Moderate;Sufficient;Hybrid;Moderate
Moderate;High;No;Strong;High;Low;High;High;Sufficient;OnSite;High
Low;High;Yes;Strong;Moderate;Moderate;High;Low;Sufficient;Remote;High
Low;Moderate;No;Weak;Moderate;Moderate;High;Moderate;Sufficient;Hybrid;Moderate
Moderate;Moderate;Yes;Strong;Moderate;Moderate;Moderate;Moderate;Sufficient;Remote;Moderate
High;High;No;Strong;Moderate;Low;Moderate;Low;Sufficient;Hybrid;High
Moderate;High;Yes;Strong;Low;Moderate;Low;High;Insufficient;Remote;Moderate
High;Moderate;Yes;Strong;Low;High;High;High;Sufficient;OnSite;Moderate
Low;Moderate;No;Strong;Moderate;Moderate;Moderate;High;Insufficient;Hybrid;Low
Moderate;High;No;Strong;Low;High;Moderate;High;Insufficient;OnSite;Moderate
Moderate;High;No;Weak;Moderate;Low;Low;High;Sufficient;Remote;Moderate
Moderate;High;Yes;Strong;Moderate;Moderate;Moderate;High;Sufficient;OnSite;Moderate
Moderate;High;No;Strong;Moderate;Moderate;Moderate;Moderate;Insufficient;OnSite;Moderate
Moderate;High;Yes;Strong;Moderate;Moderate;High;Moderate;Sufficient;OnSite;High
High;High;Yes;Strong;Moderate;Moderate;High;High;Insufficient;Hybrid;Low
Moderate;Moderate;Yes;Strong;Moderate;Moderate;High;Moderate;Insufficient;Hybrid;Moderate
Low;Moderate;Yes;Weak;Moderate;Moderate;Low;Moderate;Sufficient;Remote;Moderate
Moderate;Moderate;No;Weak;Moderate;Moderate;Moderate;Low;Sufficient;Remote;Low
Moderate;Moderate;No;Strong;Moderate;Moderate;High;High;Insufficient;OnSite;Moderate
Moderate;Moderate;No;Strong;Moderate;Moderate;Moderate;High;Insufficient;OnSite;Moderate
Moderate;Moderate;No;Strong;Moderate;Moderate;Moderate;High;Insufficient;OnSite;Moderate
Moderate;High;No;Strong;High;Moderate;High;High;Sufficient;OnSite;Moderate
Low;Moderate;No;Strong;Moderate;Low;Moderate;Low;Sufficient;Hybrid;Moderate
Low;Low;Yes;Weak;Moderate;Moderate;High;Low;Sufficient;Remote;Moderate
Low;Moderate;Yes;Strong;Moderate;Moderate;Moderate;Moderate;Sufficient;Remote;Moderate
High;Moderate;No;Weak;Moderate;Moderate;Moderate;High;Sufficient;OnSite;Moderate
Moderate;High;No;Strong;High;Moderate;Moderate;High;Insufficient;OnSite;High
Moderate;Moderate;Yes;Strong;Moderate;Moderate;Moderate;High;Insufficient;OnSite;High
Moderate;High;Yes;Strong;Moderate;Moderate;Moderate;High;Insufficient;OnSite;Moderate
Moderate;High;Yes;Strong;Moderate;Moderate;Moderate;High;Sufficient;OnSite;High
High;Moderate;Yes;Strong;Moderate;Moderate;Moderate;High;Sufficient;OnSite;High
Moderate;High;Yes;Strong;Moderate;Low;High;Moderate;Sufficient;OnSite;High
Moderate;High;Yes;Strong;Moderate;Moderate;High;Moderate;Sufficient;OnSite;High
Moderate;High;Yes;Weak;Moderate;Moderate;Low;High;Sufficient;OnSite;Moderate
